"food_nutrient_id","adjusted_amount","lab_method_id","nutrient_name"
"2252515","","1009","Copper, Cu"
"2252516","","1009","Manganese, Mn"
"2252517","","1009","Phosphorus, P"
"2252518","","1009","Calcium, Ca"
"2252519","","1014","Niacin"
"2252520","","1011","Thiamin"
"2252521","","1016","Vitamin B-6"
"2252522","","1052","Tocotrienol, beta"
"2252523","","1052","Tocotrienol, alpha"
"2252524","","1052","Tocotrienol, gamma"
"2252525","","1052","Tocopherol, gamma"
"2252526","","1052","Vitamin E (alpha-tocopherol)"
"2252527","","1052","Tocopherol, beta"
"2252528","","1052","Tocopherol, delta"
"2252529","","1052","Tocotrienol, delta"
"2252530","","1041","Cholesterol"
"2252531","","1042","4:0"
"2252532","","1042","6:0"
"2252533","","1042","8:0"
"2252534","","1042","10:0"
"2252535","","1042","11:0"
"2252536","","1042","12:0"
"2252537","","1042","14:0"
"2252538","","1042","15:0"
"2252539","","1042","15:1"
"2252540","","1042","16:0"
"2252541","","1042","16:1 t"
"2252542","","1042","16:1 c"
"2252543","","1042","17:0"
"2252544","","1042","17:1"
"2252545","","1042","18:0"
"2252546","","1042","18:1 t"
"2252547","","1042","18:1 c"
"2252548","","1042","18:2 t not further defined"
"2252549","","1042","18:2 n-6 c,c"
"2252550","","1042","20:0"
"2252551","","1042","18:3 n-6 c,c,c"
"2252552","","1042","20:1"
"2252553","","1042","18:3 n-3 c,c,c (ALA)"
"2252554","","1042","18:2 CLAs"
"2252555","","1042","18:4"
"2252556","","1042","20:2 n-6 c,c"
"2252557","","1042","22:0"
"2252558","","1042","20:3 n-6"
"2252559","","1042","22:1 t"
"2252560","","1042","22:1 c"
"2252561","","1042","20:3 n-3"
"2252562","","1042","20:4 undifferentiated"
"2252563","","1042","22:2"
"2252564","","1042","24:0"
"2252565","","1042","20:5 n-3 (EPA)"
"2252566","","1042","24:1 c"
"2252567","","1042","22:4"
"2252568","","1042","22:5 n-3 (DPA)"
"2252569","","1042","22:6 n-3 (DHA)"
"2252570","","1037","Pantothenic acid"
"2252571","","1022","Ash"
"2252572","","1018","Nitrogen"
"2252573","","1019","Total lipid (fat)"
"2252574","","1028","Water"
"2252575","","1035","Riboflavin"
"2252576","","1039","Vitamin B-12"
"2252577","","1024","Lactose"
"2252578","","1024","Maltose"
"2252579","","1024","Sucrose"
"2252580","","1030","Galactose"
"2252581","","1024","Glucose (dextrose)"
"2252582","","1024","Fructose"
"2252583","","1009","Magnesium, Mg"
"2252584","","1009","Potassium, K"
"2252585","","1009","Iron, Fe"
"2252586","","1009","Sodium, Na"
"2252587","","1009","Zinc, Zn"
"2252588","","1009","Copper, Cu"
"2252589","","1009","Manganese, Mn"
"2252590","","1009","Phosphorus, P"
"2252591","","1009","Calcium, Ca"
"2252592","","1014","Niacin"
"2252593","","1169","Selenium, Se"
"2252594","","1011","Thiamin"
"2252595","","1016","Vitamin B-6"
"2252596","","1050","Retinol"
"2252597","","1052","Tocotrienol, beta"
"2252598","","1052","Tocotrienol, gamma"
"2252599","","1052","Tocotrienol, alpha"
"2252600","","1052","Tocopherol, gamma"
"2252601","","1052","Vitamin E (alpha-tocopherol)"
"2252602","","1052","Tocopherol, beta"
"2252603","","1052","Tocopherol, delta"
"2252604","","1052","Tocotrienol, delta"
"2252605","","1171","Cystine"
"2252606","","1121","Tryptophan"
"2252607","","1145","Glycine"
"2252608","","1171","Methionine"
"2252609","","1145","Histidine"
"2252610","","1145","Alanine"
"2252611","","1145","Arginine"
"2252612","","1145","Threonine"
"2252613","","1145","Isoleucine"
"2252614","","1145","Phenylalanine"
"2252615","","1145","Tyrosine"
"2252616","","1145","Serine"
"2252617","","1145","Valine"
"2252618","","1145","Aspartic acid"
"2252619","","1145","Lysine"
"2252620","","1145","Proline"
"2252621","","1145","Leucine"
"2252622","","1145","Glutamic acid"
"2252623","","1041","Cholesterol"
"2252624","","1042","18:3 n-6 c,c,c"
"2252625","","1042","20:1"
"2252626","","1042","18:3 n-3 c,c,c (ALA)"
"2252627","","1042","18:2 CLAs"
"2252628","","1042","18:4"
"2252629","","1042","20:2 n-6 c,c"
"2252630","","1042","22:0"
"2252631","","1042","20:3 n-6"
"2252632","","1042","22:1 t"
"2252633","","1042","22:1 c"
"2252634","","1042","20:3 n-3"
"2252635","","1042","16:0"
"2252636","","1042","16:1 t"
"2252637","","1042","16:1 c"
"2252638","","1042","17:0"
"2252639","","1042","17:1"
"2252640","","1042","18:0"
"2252641","","1042","18:1 t"
"2252642","","1042","18:1 c"
"2252643","","1042","18:2 t not further defined"
"2252644","","1042","18:2 n-6 c,c"
"2252645","","1042","20:0"
"2252646","","1042","4:0"
"2252647","","1042","6:0"
"2252648","","1042","8:0"
"2252649","","1042","10:0"
"2252650","","1042","11:0"
"2252651","","1042","12:0"
"2252652","","1042","14:0"
"2252653","","1042","15:0"
"2252654","","1042","15:1"
"2252655","","1042","20:4 undifferentiated"
"2252656","","1042","22:2"
"2252657","","1042","24:0"
"2252658","","1042","20:5 n-3 (EPA)"
"2252659","","1042","24:1 c"
"2252660","","1042","22:4"
"2252661","","1042","22:5 n-3 (DPA)"
"2252662","","1042","22:6 n-3 (DHA)"
"2252663","","1037","Pantothenic acid"
"2252664","","1022","Ash"
"2252665","","1018","Nitrogen"
"2252666","","1019","Total lipid (fat)"
"2252667","","1028","Water"
"2252668","","1035","Riboflavin"
"2252669","","1039","Vitamin B-12"
"2252670","","1043","Choline, from sphingomyelin"
"2252671","","","Choline, total"
"2252672","","1043","Betaine"
"2252673","","1043","Choline, free"
"2252674","","1043","Choline, from glycerophosphocholine"
"2252675","","1043","Choline, from phosphotidyl choline"
"2252676","","1043","Choline, from phosphocholine"
"2252677","","1051","Carotene, beta"
"2252678","","1051","Lutein + zeaxanthin"
"2252679","","1051","Lycopene"
"2252680","","1051","Carotene, alpha"
"2252681","","1051","Cryptoxanthin, beta"
"2252682","","1024","Lactose"
"2252683","","1024","Maltose"
"2252684","","1024","Sucrose"
"2252685","","1030","Galactose"
"2252686","","1024","Glucose (dextrose)"
"2252687","","1024","Fructose"
"2252688","","1048","Vitamin K (phylloquinone)"
"2252689","","1048","Menaquinone-4"
"2252690","","1009","Magnesium, Mg"
"2252691","","1009","Potassium, K"
"2252692","","1009","Iron, Fe"
"2252693","","1009","Sodium, Na"
"2252694","","1009","Zinc, Zn"
"2252695","","1009","Copper, Cu"
"2252696","","1009","Manganese, Mn"
"2252697","","1009","Phosphorus, P"
"2252698","","1009","Calcium, Ca"
"2252699","","1014","Niacin"
"2252700","","1169","Selenium, Se"
"2252701","","1011","Thiamin"
"2252702","","1016","Vitamin B-6"
"2252703","","1050","Retinol"
"2252704","","1052","Tocotrienol, beta"
"2252705","","1052","Tocotrienol, alpha"
"2252706","","1052","Tocotrienol, gamma"
"2252707","","1052","Tocopherol, gamma"
"2252708","","1052","Vitamin E (alpha-tocopherol)"
"2252709","","1052","Tocopherol, beta"
"2252710","","1052","Tocopherol, delta"
"2252711","","1052","Tocotrienol, delta"
"2252712","","1171","Cystine"
"2252713","","1121","Tryptophan"
"2252714","","1145","Glycine"
"2252715","","1171","Methionine"
"2252716","","1145","Histidine"
"2252717","","1145","Alanine"
"2252718","","1145","Arginine"
"2252719","","1145","Threonine"
"2252720","","1145","Isoleucine"
"2252721","","1145","Phenylalanine"
"2252722","","1145","Tyrosine"
"2252723","","1145","Serine"
"2252724","","1145","Valine"
"2252725","","1145","Aspartic acid"
"2252726","","1145","Lysine"
"2252727","","1145","Leucine"
"2252728","","1145","Proline"
"2252729","","1145","Glutamic acid"
"2252730","","1041","Cholesterol"
"2252731","","1042","4:0"
"2252732","","1042","6:0"
"2252733","","1042","8:0"
"2252734","","1042","10:0"
"2252735","","1042","11:0"
"2252736","","1042","12:0"
"2252737","","1042","14:0"
"2252738","","1042","15:0"
"2252739","","1042","15:1"
"2252740","","1042","16:0"
"2252741","","1042","16:1 t"
"2252742","","1042","16:1 c"
"2252743","","1042","17:0"
"2252744","","1042","17:1"
"2252745","","1042","18:0"
"2252746","","1042","18:1 t"
"2252747","","1042","18:1 c"
"2252748","","1042","18:2 t not further defined"
"2252749","","1042","18:2 n-6 c,c"
"2252750","","1042","20:0"
"2252751","","1042","18:3 n-6 c,c,c"
"2252752","","1042","20:1"
"2252753","","1042","18:3 n-3 c,c,c (ALA)"
"2252754","","1042","18:2 CLAs"
"2252755","","1042","18:4"
"2252756","","1042","20:2 n-6 c,c"
"2252757","","1042","22:0"
"2252758","","1042","20:3 n-6"
"2252759","","1042","22:1 t"
"2252760","","1042","22:1 c"
"2252761","","1042","20:3 n-3"
"2252762","","1042","20:4 undifferentiated"
"2252763","","1042","22:2"
"2252764","","1042","24:0"
"2252765","","1042","20:5 n-3 (EPA)"
"2252766","","1042","24:1 c"
"2252767","","1042","22:4"
"2252768","","1042","22:5 n-3 (DPA)"
"2252769","","1042","22:6 n-3 (DHA)"
"2252770","","1037","Pantothenic acid"
"2252771","","1022","Ash"
"2252772","","1018","Nitrogen"
"2252773","","1019","Total lipid (fat)"
"2252774","","1028","Water"
"2252775","","1035","Riboflavin"
"2252776","","1039","Vitamin B-12"
"2252777","","1060","Fructose"
"2252778","","1060","Glucose (dextrose)"
"2252779","","1060","Sucrose"
"2252780","","1060","Lactose"
"2252781","","1060","Maltose"
"2252782","","1060","Galactose"
"2252783","","1051","Cryptoxanthin, beta"
"2252784","","1051","Carotene, alpha"
"2252785","","1051","Carotene, beta"
"2252786","","1051","Lutein + zeaxanthin"
"2252787","","1051","Lycopene"
"2252788","","1107","Vitamin D3 (cholecalciferol)"
"2252789","","","Vitamin D (D2 + D3)"
"2252790","","1107","Vitamin D"
"2252791","","1024","Lactose"
"2252792","","1024","Maltose"
"2252793","","1024","Sucrose"
"2252794","","1030","Galactose"
"2252795","","1024","Glucose (dextrose)"
"2252796","","1024","Fructose"
"2252797","","1048","Vitamin K (phylloquinone)"
"2252798","","1048","Menaquinone-4"
"2254892","","1019","Total lipid (fat)"
"2254893","","1122","Protein"
"2254894","","1004","Ash"
"2254895","","1083","Water"
"2254896","","1122","Nitrogen"
"2254897","","1121","Tryptophan"
"2254898","","1171","Cystine"
"2254899","","1171","Methionine"
"2254900","","1145","Aspartic acid"
"2254901","","1145","Threonine"
"2254902","","1145","Serine"
"2254903","","1145","Glutamic acid"
"2254904","","1145","Proline"
"2254905","","1145","Glycine"
"2254906","","1145","Alanine"
"2254907","","1145","Valine"
"2254908","","1145","Isoleucine"
"2254909","","1145","Leucine"
"2254910","","1145","Tyrosine"
"2254911","","1145","Phenylalanine"
"2254912","","1145","Lysine"
"2254913","","1145","Histidine"
"2254914","","1145","Arginine"
"2254915","","1097","Hydroxyproline"
"2254916","","1039","Vitamin B-12"
"2254917","","1037","Pantothenic acid"
"2254918","","1016","Vitamin B-6"
"2254919","","1019","Total lipid (fat)"
"2254920","","1122","Protein"
"2254921","","1004","Ash"
"2254922","","1083","Water"
"2254923","","1122","Nitrogen"
"2254924","","1050","Retinol"
"2254925","","1052","Tocopherol, beta"
"2254926","","1052","Tocotrienol, alpha"
"2254927","","1052","Tocopherol, delta"
"2254928","","1052","Tocotrienol, gamma"
"2254929","","1052","Vitamin E (alpha-tocopherol)"
"2254930","","1052","Tocopherol, gamma"
"2254931","","1052","Tocotrienol, beta"
"2254932","","1052","Tocotrienol, delta"
"2254933","","1043","Betaine"
"2254934","","1043","Choline, free"
"2254935","","1043","Choline, from glycerophosphocholine"
"2254936","","1043","Choline, from phosphocholine"
"2254937","","1043","Choline, from phosphotidyl choline"
"2254938","","1043","Choline, from sphingomyelin"
"2254939","","","Choline, total"
"2254940","","1011","Thiamin"
"2254941","","1035","Riboflavin"
"2254942","","1014","Niacin"
"2254943","","1041","Cholesterol"
"2254944","","1042","4:0"
"2254945","","1042","6:0"
"2254946","","1042","8:0"
"2254947","","1042","10:0"
"2254948","","1042","11:0"
"2254949","","1042","12:0"
"2254950","","1042","14:0"
"2254951","","1042","15:0"
"2254952","","1042","15:1"
"2254953","","1042","16:0"
"2254954","","1042","16:1 t"
"2254955","","1042","16:1 c"
"2254956","","1042","17:0"
"2254957","","1042","17:1"
"2254958","","1042","18:0"
"2254959","","1042","18:1 t"
"2254960","","1042","18:1 c"
"2254961","","1042","18:2 t not further defined"
"2254962","","1042","18:2 n-6 c,c"
"2254963","","1042","20:0"
"2254964","","1042","18:3i"
"2254965","","1042","18:3 n-6 c,c,c"
"2254966","","1042","20:1"
"2254967","","1042","18:3 n-3 c,c,c (ALA)"
"2254968","","1042","18:2 CLAs"
"2254969","","1042","18:4"
"2254970","","1042","20:2 n-6 c,c"
"2254971","","1042","22:0"
"2254972","","1042","20:3 n-6"
"2254973","","1042","22:1 t"
"2254974","","1042","22:1 c"
"2254975","","1042","20:3 n-3"
"2254976","","1042","20:4 undifferentiated"
"2254977","","1042","22:2"
"2254978","","1042","24:0"
"2254979","","1042","20:5 n-3 (EPA)"
"2254980","","1042","24:1 c"
"2254981","","1042","22:4"
"2254982","","1042","22:5 n-3 (DPA)"
"2254983","","1042","22:6 n-3 (DHA)"
"2254984","","1019","Total lipid (fat)"
"2254985","","1077","Potassium, K"
"2254986","","1076","Copper, Cu"
"2254987","","1076","Iron, Fe"
"2254988","","1076","Magnesium, Mg"
"2254989","","1076","Zinc, Zn"
"2254990","","1077","Sodium, Na"
"2254991","","1076","Manganese, Mn"
"2254992","","1078","Phosphorus, P"
"2254993","","1076","Calcium, Ca"
"2254994","","1004","Ash"
"2254995","","1083","Water"
"2254996","","1122","Protein"
"2254997","","1122","Nitrogen"
"2254998","","1169","Selenium, Se"
"2254999","","1019","Total lipid (fat)"
"2255000","","1004","Ash"
"2255001","","1083","Water"
"2255002","","1122","Protein"
"2255003","","1122","Nitrogen"
"2255004","","1039","Vitamin B-12"
"2255005","","1037","Pantothenic acid"
"2255006","","1016","Vitamin B-6"
"2255007","","1019","Total lipid (fat)"
"2255008","","1122","Protein"
"2255009","","1004","Ash"
"2255010","","1083","Water"
"2255011","","1122","Nitrogen"
"2255012","","1050","Retinol"
"2255013","","1052","Tocopherol, gamma"
"2255014","","1052","Tocotrienol, beta"
"2255015","","1052","Tocotrienol, delta"
"2255016","","1052","Tocopherol, beta"
"2255017","","1052","Tocopherol, delta"
"2255018","","1052","Tocotrienol, alpha"
"2255019","","1052","Tocotrienol, gamma"
"2255020","","1052","Vitamin E (alpha-tocopherol)"
"2255021","","1043","Betaine"
"2255022","","1043","Choline, free"
"2255023","","1043","Choline, from glycerophosphocholine"
"2255024","","1043","Choline, from phosphocholine"
"2255025","","1043","Choline, from sphingomyelin"
"2255026","","1043","Choline, from phosphotidyl choline"
"2255027","","","Choline, total"
"2255028","","1011","Thiamin"
"2255029","","1035","Riboflavin"
"2255030","","1014","Niacin"
"2255031","","1041","Cholesterol"
"2255032","","1042","4:0"
"2255033","","1042","6:0"
"2255034","","1042","8:0"
"2255035","","1042","10:0"
"2255036","","1042","11:0"
"2255037","","1042","12:0"
"2255038","","1042","14:0"
"2255039","","1042","15:0"
"2255040","","1042","15:1"
"2255041","","1042","16:0"
"2255042","","1042","16:1 t"
"2255043","","1042","16:1 c"
"2255044","","1042","17:0"
"2255045","","1042","17:1"
"2255046","","1042","18:0"
"2255047","","1042","18:1 t"
"2255048","","1042","18:1 c"
"2255049","","1042","18:2 t not further defined"
"2255050","","1042","18:2 n-6 c,c"
"2255051","","1042","20:0"
"2255052","","1042","18:3i"
"2255053","","1042","18:3 n-6 c,c,c"
"2255054","","1042","20:1"
"2255055","","1042","18:3 n-3 c,c,c (ALA)"
"2255056","","1042","18:2 CLAs"
"2255057","","1042","18:4"
"2255058","","1042","20:2 n-6 c,c"
"2255059","","1042","22:0"
"2255060","","1042","20:3 n-6"
"2255061","","1042","22:1 t"
"2255062","","1042","22:1 c"
"2255063","","1042","20:3 n-3"
"2255064","","1042","20:4 undifferentiated"
"2255065","","1042","22:2"
"2255066","","1042","24:0"
"2255067","","1042","20:5 n-3 (EPA)"
"2255068","","1042","24:1 c"
"2255069","","1042","22:4"
"2255070","","1042","22:5 n-3 (DPA)"
"2255071","","1042","22:6 n-3 (DHA)"
"2255072","","1019","Total lipid (fat)"
"2255073","","1077","Potassium, K"
"2255074","","1076","Copper, Cu"
"2255075","","1076","Iron, Fe"
"2255076","","1076","Magnesium, Mg"
"2255077","","1076","Zinc, Zn"
"2255078","","1077","Sodium, Na"
"2255079","","1076","Manganese, Mn"
"2255080","","1078","Phosphorus, P"
"2255081","","1076","Calcium, Ca"
"2255082","","1004","Ash"
"2255083","","1083","Water"
"2255084","","1122","Protein"
"2255085","","1122","Nitrogen"
"2255086","","1169","Selenium, Se"
"2255087","","1019","Total lipid (fat)"
"2255088","","1122","Protein"
"2255089","","1004","Ash"
"2255090","","1083","Water"
"2255091","","1122","Nitrogen"
"2255092","","1039","Vitamin B-12"
"2255093","","1037","Pantothenic acid"
"2255094","","1016","Vitamin B-6"
"2255095","","1019","Total lipid (fat)"
"2255096","","1004","Ash"
"2255097","","1083","Water"
"2255098","","1122","Protein"
"2255099","","1122","Nitrogen"
"2255100","","1050","Retinol"
"2255101","","1052","Tocotrienol, beta"
"2255102","","1052","Tocotrienol, delta"
"2255103","","1052","Tocopherol, beta"
"2255104","","1052","Tocopherol, delta"
"2255105","","1052","Tocotrienol, alpha"
